2016/01/20 14:24:46 Process Name : AdobeARM, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 5164.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:24:46 Process Name : GWX, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 3228.0, Sent Data : 0.0, Received Data : 0.0, Process ID : t, Type : Windows
2016/01/20 14:24:46 Process Name : IpOverUsbSvc, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 8588.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:24:46 Process Name : Jhi_service, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 1396.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:24:46 Process Name : MsMpEng, MAC ID : 00:E0:4C:68:04:31, CPU usage : 10.714334772280637, RAM usage : 117320.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:24:46 Process Name : NisSrv, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 13288.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:24:46 Process Name : PresentationFontCach, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 27408.0, Sent Data : 0.0, Received Data : 0.0, Process ID : , Type : Windows
2016/01/20 14:24:46 Process Name : Project, MAC ID : 00:E0:4C:68:04:31, CPU usage : 15.625075120071925, RAM usage : 8880.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:24:46 Process Name : RAVCpl64, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 13964.0, Sent Data : 0.0, Received Data : 0.0, Process ID : |, Type : Windows
2016/01/20 14:24:46 Process Name : SearchFilterHost, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : T, Type : Windows
2016/01/20 14:24:46 Process Name : SearchIndexer, MAC ID : 00:E0:4C:68:04:31, CPU usage : 5.555579297195234, RAM usage : 38888.0, Sent Data : 0.0, Received Data : 0.0, Process ID : |, Type : Windows
