20/01/2016 14:00:53 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:04:31, Device : DREAM-73, Process Id : , Thread Id : , Computer : Dream-73, Event Id : 4624, S_Account Name : DREAM-73$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : ACCOUNT_USAGE
20/01/2016 14:00:53 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:04:31, Device : DREAM-73, Process Id : , Thread Id : , Computer : Dream-73, Event Id : 4624, S_Account Name : DREAM-73$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : ACCOUNT_USAGE
20/01/2016 14:00:53 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:04:31, Device : DREAM-73, Process Id : , Thread Id : , Computer : Dream-73, Event Id : 4624, S_Account Name : DREAM-73$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : ACCOUNT_USAGE
20/01/2016 14:01:00 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:04:31, Device : DREAM-73, Process Id : , Thread Id : , Computer : Dream-73, Event Id : 4624, S_Account Name : DREAM-73$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : ACCOUNT_USAGE
20/01/2016 14:01:07 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:04:31, Device : DREAM-73, Process Id : , Thread Id : , Computer : Dream-73, Event Id : 4624, S_Account Name : DREAM-73$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : ACCOUNT_USAGE
20/01/2016 14:01:15 , Message : A logon was attempted using explicit credentials., Level : Information, MAC : 00:E0:4C:68:04:31, Device : DREAM-73, Process Id : , Thread Id : , Computer : Dream-73, Event Id : 4648, S_Account Name : DREAM-73$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : ACCOUNT_USAGE
20/01/2016 14:01:15 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:04:31, Device : DREAM-73, Process Id : , Thread Id : , Computer : Dream-73, Event Id : 4624, S_Account Name : DREAM-73$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : ACCOUNT_USAGE
20/01/2016 14:01:41 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:04:31, Device : DREAM-73, Process Id : , Thread Id : , Computer : Dream-73, Event Id : 4624, S_Account Name : DREAM-73$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : ACCOUNT_USAGE
20/01/2016 14:01:41 , Message : A logon was attempted using explicit credentials., Level : Information, MAC : 00:E0:4C:68:04:31, Device : DREAM-73, Process Id : , Thread Id : , Computer : Dream-73, Event Id : 4648, S_Account Name : DREAM-73$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : ACCOUNT_USAGE
20/01/2016 14:01:41 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:04:31, Device : DREAM-73, Process Id : , Thread Id : , Computer : Dream-73, Event Id : 4624, S_Account Name : DREAM-73$, Object Name : , Object Type : , Source Address : , Source Port : -, Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : ACCOUNT_USAGE
20/01/2016 14:01:46 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:04:31, Device : DREAM-73, Process Id : , Thread Id : , Computer : Dream-73, Event Id : 4624, S_Account Name : -, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : -, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : ACCOUNT_USAGE
