2016/01/20 14:34:01 Process Name : FCUpdateService, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 1308.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1980, Type : Windows
2016/01/20 14:34:01 Process Name : GWX, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 3268.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3492, Type : Windows
2016/01/20 14:34:01 Process Name : IpOverUsbSvc, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1428, Type : Windows
2016/01/20 14:34:01 Process Name : Jhi_service, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4716, Type : Windows
2016/01/20 14:34:01 Process Name : MsMpEng, MAC ID : 00:E0:4C:68:14:38, CPU usage : 8.527041995428657, RAM usage : 252744.0, Sent Data : 662.5570995482486, Received Data : 0.0, Process ID : 1000, Type : Windows
2016/01/20 14:34:01 Process Name : NisSrv, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3736, Type : Windows
2016/01/20 14:34:01 Process Name : PresentationFontCach, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3032, Type : Windows
2016/01/20 14:34:01 Process Name : Project, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.35548786635797835, RAM usage : 58348.0, Sent Data : 614.8291294996292, Received Data : 1199.1254753174337, Process ID : 2072, Type : Windows
2016/01/20 14:34:01 Process Name : RAVCpl64, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 13980.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3584, Type : Windows
2016/01/20 14:34:01 Process Name : SearchFilterHost, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1080, Type : Windows
2016/01/20 14:34:01 Process Name : SearchIndexer, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3936, Type : Windows
2016/01/20 14:34:01 Process Name : SearchProtocolHost, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3156, Type : Windows
2016/01/20 14:34:01 Process Name : SinhalaTamil IME, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 2332.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3764, Type : Windows
2016/01/20 14:34:01 Process Name : SkypeC2CAutoUpdateSv, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 2976.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1848, Type : Windows
2016/01/20 14:34:01 Process Name : SkypeC2CPNRSvc, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 3880.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1884, Type : Windows
2016/01/20 14:34:01 Process Name : TSVNCache, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3368, Type : Windows
2016/01/20 14:34:01 Process Name : csrss, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 528, Type : Windows
2016/01/20 14:34:01 Process Name : csrss#1, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.14037839739394442, RAM usage : 36652.0, Sent Data : 4731.28742810541, Received Data : 0.0, Process ID : 604, Type : Windows
2016/01/20 14:34:01 Process Name : cygrunsrv, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 12684.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2676, Type : Windows
2016/01/20 14:34:01 Process Name : dwm, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1780, Type : Windows
2016/01/20 14:34:01 Process Name : explorer, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 22076.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3408, Type : Windows
2016/01/20 14:34:01 Process Name : httpd, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2360, Type : Windows
2016/01/20 14:34:01 Process Name : httpd#1, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4364, Type : Windows
2016/01/20 14:34:01 Process Name : igfxCUIService, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 4960.0, Sent Data : 42.1635968865183, Received Data : 0.0, Process ID : 1276, Type : Windows
2016/01/20 14:34:01 Process Name : igfxEM, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2156, Type : Windows
2016/01/20 14:34:01 Process Name : igfxHK, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2212, Type : Windows
2016/01/20 14:34:01 Process Name : igfxTray, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4100, Type : Windows
2016/01/20 14:34:01 Process Name : iusb3mon, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 1772.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3964, Type : Windows
2016/01/20 14:34:01 Process Name : jucheck, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2556, Type : Windows
2016/01/20 14:34:01 Process Name : jusched, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 2264.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 532, Type : Windows
2016/01/20 14:34:01 Process Name : lsass, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.08948692401101908, RAM usage : 9084.0, Sent Data : 397.1632479744875, Received Data : 5668.1879854527315, Process ID : 692, Type : Windows
2016/01/20 14:34:01 Process Name : msseces, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3780, Type : Windows
2016/01/20 14:34:01 Process Name : mysqld, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2144, Type : Windows
2016/01/20 14:34:01 Process Name : oracle, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.856783088769886, RAM usage : 1429288.0, Sent Data : 168564.35704222144, Received Data : 94944.39462275253, Process ID : 2272, Type : Windows
2016/01/20 14:34:01 Process Name : services, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 4556.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 680, Type : Windows
2016/01/20 14:34:01 Process Name : smss, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 636.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 356, Type : Windows
2016/01/20 14:34:01 Process Name : spoolsv, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.07684462012982363, RAM usage : 6799.0, Sent Data : 41.819370160336916, Received Data : 10.512516977875945, Process ID : 1612, Type : Windows
2016/01/20 14:34:01 Process Name : sqlwriter, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 4736.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2596, Type : Windows
2016/01/20 14:34:01 Process Name : sshd, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 15712.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2788, Type : Windows
2016/01/20 14:34:01 Process Name : svchost, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.25623362708113256, RAM usage : 9716.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 816, Type : Windows
2016/01/20 14:34:01 Process Name : svchost#1, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.06399026022271354, RAM usage : 8232.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 896, Type : Windows
2016/01/20 14:34:01 Process Name : svchost#10, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 4440.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2704, Type : Windows
2016/01/20 14:34:01 Process Name : svchost#11, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2568, Type : Windows
2016/01/20 14:34:01 Process Name : svchost#12, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4752, Type : Windows
2016/01/20 14:34:01 Process Name : svchost#2, MAC ID : 00:E0:4C:68:14:38, CPU usage : 3.4288157221879034, RAM usage : 40864.0, Sent Data : 7994046.330875725, Received Data : 25325.91763650735, Process ID : 408, Type : Windows
2016/01/20 14:34:01 Process Name : svchost#3, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.7692343473360427, RAM usage : 94728.0, Sent Data : 225678.24209381398, Received Data : 42895.797599382786, Process ID : 400, Type : Windows
2016/01/20 14:34:01 Process Name : svchost#4, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.012814001184498961, RAM usage : 6976.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 912, Type : Windows
