20/01/2016 14:22:57 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:14:38, Device : DREAM-74, Process Id : , Thread Id : , Computer : Dream-74, Event Id : 4624, S_Account Name : -, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : Network Information, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : ACCOUNT_USAGE
20/01/2016 14:22:58 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:14:38, Device : DREAM-74, Process Id : , Thread Id : , Computer : Dream-74, Event Id : 4624, S_Account Name : DREAM-74$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : ACCOUNT_USAGE
20/01/2016 14:22:58 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:14:38, Device : DREAM-74, Process Id : , Thread Id : , Computer : Dream-74, Event Id : 4624, S_Account Name : DREAM-74$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : ACCOUNT_USAGE
20/01/2016 14:22:58 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:14:38, Device : DREAM-74, Process Id : , Thread Id : , Computer : Dream-74, Event Id : 4624, S_Account Name : DREAM-74$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : ACCOUNT_USAGE
20/01/2016 14:23:00 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:14:38, Device : DREAM-74, Process Id : , Thread Id : , Computer : Dream-74, Event Id : 4624, S_Account Name : DREAM-74$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : ACCOUNT_USAGE
20/01/2016 14:23:01 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:14:38, Device : DREAM-74, Process Id : , Thread Id : , Computer : Dream-74, Event Id : 4624, S_Account Name : DREAM-74$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : ACCOUNT_USAGE
20/01/2016 14:23:01 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:14:38, Device : DREAM-74, Process Id : , Thread Id : , Computer : Dream-74, Event Id : 4624, S_Account Name : DREAM-74$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : ACCOUNT_USAGE
20/01/2016 14:23:06 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:14:38, Device : DREAM-74, Process Id : , Thread Id : , Computer : Dream-74, Event Id : 4624, S_Account Name : DREAM-74$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : ACCOUNT_USAGE
20/01/2016 14:23:9 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:14:38, Device : DREAM-74, Process Id : , Thread Id : , Computer : Dream-74, Event Id : 4624, S_Account Name : DREAM-74$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : ACCOUNT_USAGE
20/01/2016 14:23:16 , Message : A logon was attempted using explicit credentials., Level : Information, MAC : 00:E0:4C:68:14:38, Device : DREAM-74, Process Id : , Thread Id : , Computer : Dream-74, Event Id : 4648, S_Account Name : DREAM-74$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : ACCOUNT_USAGE
20/01/2016 14:23:16 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:14:38, Device : DREAM-74, Process Id : , Thread Id : , Computer : Dream-74, Event Id : 4624, S_Account Name : DREAM-74$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : ACCOUNT_USAGE
