2016/01/20 14:16:02 Process Name : AutoKMS, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 26360.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:16:02 Process Name : FCUpdateService, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 1300.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:16:02 Process Name : GWX, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 3316.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:16:02 Process Name : HeciServer, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 1992.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:16:02 Process Name : MATLABStartupAcceler, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 1120.0, Sent Data : 0.0, Received Data : 0.0, Process ID : d, Type : Windows
2016/01/20 14:16:02 Process Name : MsMpEng, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:16:02 Process Name : Project, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.8064553649978076, RAM usage : 8536.0, Sent Data : 0.0, Received Data : 0.0, Process ID : t, Type : Windows
2016/01/20 14:16:02 Process Name : RAVCpl64, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 13988.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:16:02 Process Name : SinhalaTamil IME, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 2324.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:16:02 Process Name : SkypeC2CPNRSvc, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 2056.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:16:02 Process Name : TSVNCache, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 3272.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:16:02 Process Name : Updater, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 1452.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4, Type : Windows
2016/01/20 14:16:02 Process Name : WmiPrvSE, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.3906267997513626, RAM usage : 2360.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:16:02 Process Name : WmiPrvSE#1, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.7692343346925025, RAM usage : 2368.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:16:02 Process Name : WmiPrvSE#2, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : , Type : Windows
2016/01/20 14:16:02 Process Name : beasvc, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 1564.0, Sent Data : 0.0, Received Data : 0.0, Process ID : D, Type : Windows
2016/01/20 14:16:02 Process Name : csrss#1, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 2420.0, Sent Data : 0.0, Received Data : 0.0, Process ID : l, Type : Windows
2016/01/20 14:16:02 Process Name : cygrunsrv, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 6308.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:16:02 Process Name : explorer, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.25000115384408284, RAM usage : 24868.0, Sent Data : 0.0, Received Data : 0.0, Process ID : P, Type : Windows
2016/01/20 14:16:02 Process Name : jusched, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 2264.0, Sent Data : 0.0, Received Data : 0.0, Process ID : x, Type : Windows
2016/01/20 14:16:02 Process Name : lsass, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 3784.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:16:02 Process Name : lsm, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 3252.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:16:02 Process Name : mbamservice, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 5064.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 0, Type : Windows
2016/01/20 14:16:02 Process Name : msseces, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 6224.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 14:16:02 Process Name : notepad, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : P, Type : Windows
2016/01/20 14:16:02 Process Name : oracle, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 54016.0, Sent Data : 0.0, Received Data : 0.0, Process ID : p, Type : Windows
2016/01/20 14:16:02 Process Name : oradim, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 11144.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
