2016/01/20 13:48:14 Process Name : GWXDetector, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 9184.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 13:48:14 Process Name : GWXDetector#1, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 6656.0, Sent Data : 0.0, Received Data : 0.0, Process ID : , Type : Windows
2016/01/20 13:48:14 Process Name : IpOverUsbSvc, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 16912.0, Sent Data : 0.0, Received Data : 0.0, Process ID : , Type : Windows
2016/01/20 13:48:14 Process Name : Jhi_service, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 2808.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 13:48:14 Process Name : LogonUI, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 0, Type : Windows
2016/01/20 13:48:14 Process Name : MsMpEng, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.5024061882511462, RAM usage : 231840.0, Sent Data : 0.0, Received Data : 13089.321267042418, Process ID : �, Type : Windows
2016/01/20 13:48:14 Process Name : NisSrv, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.06244028585555996, RAM usage : 26048.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 13:48:14 Process Name : PresentationFontCach, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 55352.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 13:48:14 Process Name : Project, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.366736471675807, RAM usage : 86232.0, Sent Data : 139.70270734090647, Received Data : 2621.113719081941, Process ID :  , Type : Windows
2016/01/20 13:48:14 Process Name : SearchFilterHost, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : , Type : Windows
2016/01/20 13:48:14 Process Name : SearchIndexer, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.11435407713881414, RAM usage : 83076.0, Sent Data : 44.335075115464875, Received Data : 19280.16584287536, Process ID : �, Type : Windows
2016/01/20 13:48:14 Process Name : SkypeC2CAutoUpdateSv, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 5376.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 13:48:14 Process Name : TrustedInstaller, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 9344.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 13:48:14 Process Name : audiodg, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 13:48:14 Process Name : beasvc, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 229760.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 13:48:14 Process Name : conhost, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 2392.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 13:48:14 Process Name : conhost#2, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.012526567555300811, RAM usage : 2904.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 13:48:14 Process Name : csrss, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 4728.0, Sent Data : 0.0, Received Data : 0.0, Process ID : , Type : Windows
2016/01/20 13:48:14 Process Name : csrss#1, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.06264491120722228, RAM usage : 6488.0, Sent Data : 757.4128358823118, Received Data : 0.0, Process ID : `, Type : Windows
2016/01/20 13:48:14 Process Name : cygrunsrv, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 12472.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 13:48:14 Process Name : httpd, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 18992.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
2016/01/20 13:48:14 Process Name : httpd#1, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 22272.0, Sent Data : 0.0, Received Data : 0.0, Process ID : @, Type : Windows
2016/01/20 13:48:14 Process Name : igfxCUIService, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 4896.0, Sent Data : 0.0, Received Data : 0.0, Process ID : �, Type : Windows
