2016/01/18 12:39:13 Process Name : FCUpdateService, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 1212.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1876, Type : Windows
2016/01/18 12:39:13 Process Name : HeciServer, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 1980.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1908, Type : Windows
2016/01/18 12:39:13 Process Name : IpOverUsbSvc, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 8512.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1984, Type : Windows
2016/01/18 12:39:13 Process Name : Jhi_service, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 1408.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3524, Type : Windows
2016/01/18 12:39:13 Process Name : MsMpEng, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 5.000019230719921, RAM usage : 127096.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1000, Type : Windows
2016/01/18 12:39:13 Process Name : NisSrv, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 13192.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3596, Type : Windows
2016/01/18 12:39:13 Process Name : PresentationFontCach, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 27420.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4080, Type : Windows
2016/01/18 12:39:13 Process Name : Project, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 21.428669544561274, RAM usage : 9028.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4428, Type : Windows
2016/01/18 12:39:13 Process Name : SearchFilterHost, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 3204.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4216, Type : Windows
2016/01/18 12:39:13 Process Name : SearchIndexer, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 6.250030048028769, RAM usage : 42356.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 972, Type : Windows
2016/01/18 12:39:13 Process Name : SearchProtocolHost, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 3172.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4744, Type : Windows
2016/01/18 12:39:13 Process Name : SinhalaTamil IME, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 2336.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2940, Type : Windows
2016/01/18 12:39:13 Process Name : SkypeC2CPNRSvc, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 1948.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1772, Type : Windows
2016/01/18 12:39:13 Process Name : TSVNCache, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 3456.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3100, Type : Windows
2016/01/18 12:39:13 Process Name : beasvc, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 114480.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2216, Type : Windows
2016/01/18 12:39:13 Process Name : conhost#2, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 1200.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2508, Type : Windows
2016/01/18 12:39:13 Process Name : csrss, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 2276.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 536, Type : Windows
2016/01/18 12:39:13 Process Name : csrss#1, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 3084.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 612, Type : Windows
2016/01/18 12:39:13 Process Name : cygrunsrv, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 6248.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4048, Type : Windows
2016/01/18 12:39:13 Process Name : dwm, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 30688.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2468, Type : Windows
2016/01/18 12:39:13 Process Name : explorer, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 50640.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2496, Type : Windows
2016/01/18 12:39:13 Process Name : httpd, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 9496.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4412, Type : Windows
2016/01/18 12:39:13 Process Name : httpd#1, MAC ID : 00:E0:4C:68:33:D3, CPU usage : 0.0, RAM usage : 11144.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3792, Type : Windows
