2016/01/13 13:57:13 Process Name : AppleMobileDeviceSer, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 8564.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1464, Type : Windows
2016/01/13 13:57:13 Process Name : Babylon, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 41116.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 7916, Type : Windows
2016/01/13 13:57:13 Process Name : BabylonHelper64, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 1436.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 6228, Type : Windows
2016/01/13 13:57:13 Process Name : FAHWindow64, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 1164.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2316, Type : Windows
2016/01/13 13:57:13 Process Name : HWDeviceService64, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 1880.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1752, Type : Windows
2016/01/13 13:57:13 Process Name : IDMan, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 5336.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 6232, Type : Windows
2016/01/13 13:57:13 Process Name : IEMonitor, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 1724.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 7056, Type : Windows
2016/01/13 13:57:13 Process Name : MSBuild, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 24508.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3256, Type : Windows
2016/01/13 13:57:13 Process Name : NhmWriter, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 25452.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1204, Type : Windows
2016/01/13 13:57:13 Process Name : PresentationFontCach, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 29968.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5984, Type : Windows
2016/01/13 13:57:13 Process Name : Project, MAC ID : 64:27:37:EE:A0:93, CPU usage : 24.99932446269896, RAM usage : 9256.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 7336, Type : Windows
2016/01/13 13:57:13 Process Name : RsMgrSvc, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 3184.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 776, Type : Windows
2016/01/13 13:57:13 Process Name : SearchIndexer, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 50972.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 7100, Type : Windows
2016/01/13 13:57:13 Process Name : SkypeC2CAutoUpdateSv, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 2372.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1572, Type : Windows
2016/01/13 13:57:13 Process Name : SkypeC2CPNRSvc, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 53960.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1608, Type : Windows
2016/01/13 13:57:13 Process Name : StikyNot, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 3988.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 7672, Type : Windows
