2016/01/30 10:46:31 Process Name : Android Agent, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.3333333333333333, RAM usage : 5506.666666666667, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:32 Process Name : Samsung keyboard, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5440.0, Sent Data : 0.0, Received Data : 6.0, Process ID : pid, Type : Android
2016/01/30 10:46:32 Process Name : TouchWiz Home, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5732.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:32 Process Name : Google Play services, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5284.0, Sent Data : 2.0, Received Data : 3.0, Process ID : pid, Type : Android
2016/01/30 10:46:32 Process Name : com.google.android.gms.persistent, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5324.0, Sent Data : 2.0, Received Data : 3.0, Process ID : pid, Type : Android
2016/01/30 10:46:32 Process Name : Chrome, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5288.0, Sent Data : 9.0, Received Data : 105.0, Process ID : pid, Type : Android
2016/01/30 10:46:32 Process Name : com.google.android.googlequicksearchbox:search, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5400.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:32 Process Name : com.android.chrome:privileged_process1, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5608.0, Sent Data : 9.0, Received Data : 105.0, Process ID : pid, Type : Android
2016/01/30 10:46:32 Process Name : com.sec.android.widgetapp.ap.hero.accuweather:SurfaceWidget, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5496.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:32 Process Name : MyScript Resource Manager, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5552.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:32 Process Name : Active applications, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 6140.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:32 Process Name : Video Player, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 6072.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:33 Process Name : Internet, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5984.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:33 Process Name : com.android.browser.provider, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 6156.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:33 Process Name : Greeting Card Maker, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5908.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:33 Process Name : Samsung Push Service, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5468.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:33 Process Name : Calendar Storage, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5524.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:33 Process Name : S Planner, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 6088.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:33 Process Name : Favourite Contacts, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 6080.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:33 Process Name : Messenger, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5292.0, Sent Data : 1.0, Received Data : 3.0, Process ID : pid, Type : Android
2016/01/30 10:46:33 Process Name : Context Service, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5512.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:33 Process Name : hike, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5804.0, Sent Data : 3.0, Received Data : 4.0, Process ID : pid, Type : Android
2016/01/30 10:46:33 Process Name : com.samsung.android.snote:provider, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5613.333333333333, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:33 Process Name : OMACP, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 6052.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:34 Process Name : S Note, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 6096.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:34 Process Name : Camera, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 6176.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:34 Process Name : Clock (Digital), MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5620.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:34 Process Name : BadgeProvider, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5708.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:34 Process Name : Dual Clock (Digital), MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 6132.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:34 Process Name : Settings, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5476.0, Sent Data : 0.0, Received Data : 6.0, Process ID : pid, Type : Android
2016/01/30 10:46:34 Process Name : Contacts, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5540.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:34 Process Name : Messages, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5848.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:34 Process Name : android.process.media, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5396.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:34 Process Name : android.process.acore, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5496.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:34 Process Name : Samsung Link Platform, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5444.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:34 Process Name : CloudAgent, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5620.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:35 Process Name : com.android.systemui.recentsactivity, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5488.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:35 Process Name : Gallery, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5940.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:35 Process Name : com.google.process.gapps, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5460.0, Sent Data : 2.0, Received Data : 3.0, Process ID : pid, Type : Android
2016/01/30 10:46:35 Process Name : Factory Mode, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 6096.0, Sent Data : 0.0, Received Data : 6.0, Process ID : pid, Type : Android
2016/01/30 10:46:35 Process Name : Smart Manager, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5672.0, Sent Data : 0.0, Received Data : 6.0, Process ID : pid, Type : Android
2016/01/30 10:46:35 Process Name : AASAservice, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5860.0, Sent Data : 0.0, Received Data : 6.0, Process ID : pid, Type : Android
2016/01/30 10:46:35 Process Name : Gmail, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5368.0, Sent Data : 0.0, Received Data : 3.0, Process ID : pid, Type : Android
2016/01/30 10:46:35 Process Name : com.cmcm.locker:locker, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5552.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:35 Process Name : com.cmcm.locker:service, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5444.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:35 Process Name : EasyTouch, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5540.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:35 Process Name : com.shere.easytouch.holo.service, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5348.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:35 Process Name : Weather, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5544.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:35 Process Name : Unified Daemon, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5592.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:36 Process Name : MTP application, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5716.0, Sent Data : 0.0, Received Data : 6.0, Process ID : pid, Type : Android
2016/01/30 10:46:36 Process Name : Facebook, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5296.0, Sent Data : 9.0, Received Data : 135.0, Process ID : pid, Type : Android
2016/01/30 10:46:36 Process Name : Backup, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5608.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:36 Process Name : com.samsung.android.app.galaxyfinder:tagService, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5540.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:36 Process Name : S Health, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5440.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:36 Process Name : com.sec.android.app.shealth:remote, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5344.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:36 Process Name : Health Service, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5588.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:36 Process Name : Car mode, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5468.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:36 Process Name : Samsung text-to-speech engine, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5500.0, Sent Data : 0.0, Received Data : 6.0, Process ID : pid, Type : Android
2016/01/30 10:46:36 Process Name : Truecaller, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5388.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/30 10:46:36 Process Name : SecurityManagerService, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5608.0, Sent Data : 0.0, Received Data : 6.0, Process ID : pid, Type : Android
2016/01/30 10:46:37 Process Name : Google Partner Set Up, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5604.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
