0 Process Name : AppleMobileDeviceSer, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 8388.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1464, Type : Windows
0 Process Name : Babylon, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 40768.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4208, Type : Windows
0 Process Name : FAHWindow64, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 1156.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5792, Type : Windows
0 Process Name : HWDeviceService64, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 2052.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1752, Type : Windows
0 Process Name : IDMan, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 5364.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4156, Type : Windows
0 Process Name : IEMonitor, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 1580.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5628, Type : Windows
0 Process Name : MSBuild, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 29924.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3120, Type : Windows
0 Process Name : NhmWriter, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 25192.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4456, Type : Windows
0 Process Name : PresentationFontCach, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 29968.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5984, Type : Windows
0 Process Name : Project, MAC ID : 64:27:37:EE:A0:93, CPU usage : 26.216574915645545, RAM usage : 10576.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 7096, Type : Windows
0 Process Name : RsMgrSvc, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 3116.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 776, Type : Windows
0 Process Name : SearchIndexer, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 50232.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 7100, Type : Windows
0 Process Name : SkypeC2CAutoUpdateSv, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 2364.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1572, Type : Windows
0 Process Name : SkypeC2CPNRSvc, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 48840.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1608, Type : Windows
0 Process Name : StikyNot, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 3848.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5692, Type : Windows
0 Process Name : TSVNCache, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 2704.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4928, Type : Windows
0 Process Name : TortoiseProc, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 5740.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 6352, Type : Windows
0 Process Name : WUDFHost, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 1416.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5756, Type : Windows
0 Process Name : WzPreloader, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 13296.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 7440, Type : Windows
0 Process Name : chrome, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 60976.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3328, Type : Windows
0 Process Name : chrome#1, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 36584.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5340, Type : Windows
0 Process Name : chrome#2, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 44528.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4784, Type : Windows
0 Process Name : chrome#3, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 86316.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5096, Type : Windows
0 Process Name : chrome#4, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 27016.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4976, Type : Windows
0 Process Name : chrome#5, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 28888.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 7376, Type : Windows
0 Process Name : chrome#6, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 60480.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 7280, Type : Windows
0 Process Name : chrome#7, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 46320.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 892, Type : Windows
0 Process Name : conhost#1, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 1016.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2588, Type : Windows
0 Process Name : csrss, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 3972.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 424, Type : Windows
0 Process Name : csrss#1, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 1904.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3416, Type : Windows
0 Process Name : dasHost, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 7084.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1652, Type : Windows
0 Process Name : devenv, MAC ID : 64:27:37:EE:A0:93, CPU usage : 26.168397756725774, RAM usage : 174416.0, Sent Data : 6.0389187368421055E7, Received Data : 0.0, Process ID : 1832, Type : Windows
0 Process Name : dwm, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.6534458026823688, RAM usage : 25692.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 7228, Type : Windows
0 Process Name : explorer, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 49744.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 7476, Type : Windows
0 Process Name : hkcmd, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 1608.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 7372, Type : Windows
0 Process Name : iPodService, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 2772.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 88, Type : Windows
0 Process Name : iTunesHelper, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 3904.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3332, Type : Windows
0 Process Name : igfxpers, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 1824.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 7676, Type : Windows
0 Process Name : jusched, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 1212.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4836, Type : Windows
0 Process Name : lsass, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 7920.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 576, Type : Windows
0 Process Name : mDNSResponder, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 2564.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1532, Type : Windows
