2016/01/01 19:40:04 Process Name : Android Agent, MAC ID : 84:38:38:A1:79:87, CPU usage : 1.3333333333333333, RAM usage : 4656.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/01 19:40:04 Process Name : Samsung keyboard, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 6004.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/01 19:40:04 Process Name : TouchWiz Home, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 6592.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/01 19:40:04 Process Name : com.google.android.googlequicksearchbox:search, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5968.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/01 19:40:04 Process Name : com.sec.android.widgetapp.ap.hero.accuweather:SurfaceWidget, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 6152.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/01 19:40:04 Process Name : com.google.android.gms.persistent, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5948.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/01 19:40:04 Process Name : MyScript Resource Manager, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 6192.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/01 19:40:04 Process Name : Google Play Store, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 6576.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/01 19:40:04 Process Name : Google Play services, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 6124.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/01 19:40:04 Process Name : S Health, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 6628.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/01 19:40:04 Process Name : Google+, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 6620.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
2016/01/01 19:40:04 Process Name : com.sec.android.app.shealth:remote, MAC ID : 84:38:38:A1:79:87, CPU usage : 0.0, RAM usage : 5848.0, Sent Data : 0.0, Received Data : 0.0, Process ID : pid, Type : Android
