2016/01/01 17:46:24 Process Name : AppleMobileDeviceSer, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 2888.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1444, Type : Windows
2016/01/01 17:46:24 Process Name : CefSharp.BrowserSubp, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 28788.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3672, Type : Windows
2016/01/01 17:46:24 Process Name : CefSharp.BrowserSubp, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 46292.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4100, Type : Windows
2016/01/01 17:46:24 Process Name : CefSharp.BrowserSubp, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 39420.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4576, Type : Windows
2016/01/01 17:46:24 Process Name : CefSharp.BrowserSubp, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 48248.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4268, Type : Windows
2016/01/01 17:46:24 Process Name : FBW, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 11560.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1836, Type : Windows
2016/01/01 17:46:24 Process Name : FBW#1, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 2588.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2748, Type : Windows
2016/01/01 17:46:24 Process Name : FBW#2, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 2768.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3032, Type : Windows
2016/01/01 17:46:24 Process Name : FBWMgr, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 1472.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3144, Type : Windows
2016/01/01 17:46:24 Process Name : GitHub, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 156912.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4624, Type : Windows
2016/01/01 17:46:24 Process Name : GoogleCrashHandler, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 1288.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2188, Type : Windows
2016/01/01 17:46:24 Process Name : GoogleCrashHandler64, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 1312.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2324, Type : Windows
2016/01/01 17:46:24 Process Name : HSSCP, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 21808.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5216, Type : Windows
2016/01/01 17:46:24 Process Name : MSBuild, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 27968.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4372, Type : Windows
2016/01/01 17:46:24 Process Name : Project, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 29.00564552234731, RAM usage : 10548.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 6700, Type : Windows
2016/01/01 17:46:24 Process Name : RAVBg64, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 5144.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2572, Type : Windows
2016/01/01 17:46:24 Process Name : RAVBg64#1, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 4992.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1368, Type : Windows
2016/01/01 17:46:24 Process Name : RAVBg64#2, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 6308.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4164, Type : Windows
2016/01/01 17:46:24 Process Name : RAVBg64#3, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 5108.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4988, Type : Windows
2016/01/01 17:46:24 Process Name : RtkAudioService64, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 1368.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 632, Type : Windows
2016/01/01 17:46:24 Process Name : RtkNGUI64, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 4420.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1712, Type : Windows
2016/01/01 17:46:24 Process Name : SearchIndexer, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4112, Type : Windows
2016/01/01 17:46:24 Process Name : System, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4, Type : Windows
2016/01/01 17:46:24 Process Name : WUDFHost, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 3908.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2924, Type : Windows
2016/01/01 17:46:24 Process Name : atieclxx, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 2112.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3364, Type : Windows
2016/01/01 17:46:24 Process Name : atiesrxx, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 800.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 872, Type : Windows
2016/01/01 17:46:24 Process Name : chrome, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 920, Type : Windows
2016/01/01 17:46:24 Process Name : chrome#10, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 83068.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 856, Type : Windows
2016/01/01 17:46:24 Process Name : chrome#2, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 54192.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4516, Type : Windows
2016/01/01 17:46:24 Process Name : chrome#3, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 122976.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5616, Type : Windows
2016/01/01 17:46:24 Process Name : chrome#4, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 29852.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5892, Type : Windows
2016/01/01 17:46:24 Process Name : chrome#5, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 47984.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3344, Type : Windows
2016/01/01 17:46:24 Process Name : chrome#6, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 34128.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4500, Type : Windows
2016/01/01 17:46:24 Process Name : chrome#7, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 39408.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3084, Type : Windows
2016/01/01 17:46:24 Process Name : chrome#8, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 277568.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5468, Type : Windows
2016/01/01 17:46:24 Process Name : chrome#9, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 62024.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3604, Type : Windows
2016/01/01 17:46:24 Process Name : cmw_srv, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 14116.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4288, Type : Windows
2016/01/01 17:46:24 Process Name : conhost#2, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 616.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5280, Type : Windows
2016/01/01 17:46:24 Process Name : conhost#3, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 640.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 6336, Type : Windows
2016/01/01 17:46:24 Process Name : conhost#4, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 872.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5740, Type : Windows
2016/01/01 17:46:24 Process Name : devenv, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 193684.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3828, Type : Windows
2016/01/01 17:46:24 Process Name : dwm, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 1.2344139926692006, RAM usage : 21924.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5208, Type : Windows
