2016/01/01 17:19:10 Computer Name : NIROSH, Account Name : Administrator, Last logOn : 2013/08/22 20:17:09, Last logOff : 0, Last logOn hours : 0, Privilege : ADMIN, No Of logOns : , Current User : No
2016/01/01 17:19:10 Computer Name : NIROSH, Account Name : Guest, Last logOn : 0, Last logOff : 0, Last logOn hours : 0, Privilege : GUEST, No Of logOns : , Current User : No
2016/01/01 17:19:10 Computer Name : NIROSH, Account Name : Niro, Last logOn : 2016/01/01 14:33:46, Last logOff : 0, Last logOn hours : 0, Privilege : ADMIN, No Of logOns : , Current User : No
2016/01/01 17:40:45 Computer Name : NIROSH, Account Name : Administrator, Last logOn : 2013/08/22 20:17:09, Last logOff : 0, Last logOn hours : 0, Privilege : ADMIN, No Of logOns : , Current User : No
2016/01/01 17:40:45 Computer Name : NIROSH, Account Name : Guest, Last logOn : 0, Last logOff : 0, Last logOn hours : 0, Privilege : GUEST, No Of logOns : , Current User : No
2016/01/01 17:40:45 Computer Name : NIROSH, Account Name : Niro, Last logOn : 2016/01/01 14:33:46, Last logOff : 0, Last logOn hours : 0, Privilege : ADMIN, No Of logOns : , Current User : No
2016/01/01 17:40:45 Computer Name : NIROSH, Account Name : Administrator, Last logOn : 2013/08/22 20:17:09, Last logOff : 0, Last logOn hours : 0, Privilege : ADMIN, No Of logOns : , Current User : No
2016/01/01 17:40:45 Computer Name : NIROSH, Account Name : Guest, Last logOn : 0, Last logOff : 0, Last logOn hours : 0, Privilege : GUEST, No Of logOns : , Current User : No
2016/01/01 17:40:45 Computer Name : NIROSH, Account Name : Niro, Last logOn : 2016/01/01 14:33:46, Last logOff : 0, Last logOn hours : 0, Privilege : ADMIN, No Of logOns : , Current User : No
2016/01/01 17:44:52 Computer Name : NIROSH, Account Name : Administrator, Last logOn : 2013/08/22 20:17:09, Last logOff : 0, Last logOn hours : 0, Privilege : ADMIN, No Of logOns : , Current User : No
2016/01/01 17:44:52 Computer Name : NIROSH, Account Name : Guest, Last logOn : 0, Last logOff : 0, Last logOn hours : 0, Privilege : GUEST, No Of logOns : , Current User : No
2016/01/01 17:44:52 Computer Name : NIROSH, Account Name : Niro, Last logOn : 2016/01/01 14:33:46, Last logOff : 0, Last logOn hours : 0, Privilege : ADMIN, No Of logOns : , Current User : No
2016/01/01 17:45:52 Computer Name : NIROSH, Account Name : Administrator, Last logOn : 2013/08/22 20:17:09, Last logOff : 0, Last logOn hours : 0, Privilege : ADMIN, No Of logOns : , Current User : No
2016/01/01 17:45:52 Computer Name : NIROSH, Account Name : Guest, Last logOn : 0, Last logOff : 0, Last logOn hours : 0, Privilege : GUEST, No Of logOns : , Current User : No
2016/01/01 17:45:52 Computer Name : NIROSH, Account Name : Niro, Last logOn : 2016/01/01 14:33:46, Last logOff : 0, Last logOn hours : 0, Privilege : ADMIN, No Of logOns : , Current User : No
2016/01/01 17:46:53 Computer Name : NIROSH, Account Name : Administrator, Last logOn : 2013/08/22 20:17:09, Last logOff : 0, Last logOn hours : 0, Privilege : ADMIN, No Of logOns : , Current User : No
2016/01/01 17:46:53 Computer Name : NIROSH, Account Name : Guest, Last logOn : 0, Last logOff : 0, Last logOn hours : 0, Privilege : GUEST, No Of logOns : , Current User : No
2016/01/01 17:46:53 Computer Name : NIROSH, Account Name : Niro, Last logOn : 2016/01/01 14:33:46, Last logOff : 0, Last logOn hours : 0, Privilege : ADMIN, No Of logOns : , Current User : No
2016/01/01 17:48:58 Computer Name : NIROSH, Account Name : Administrator, Last logOn : 2013/08/22 20:17:09, Last logOff : 0, Last logOn hours : 0, Privilege : ADMIN, No Of logOns : , Current User : No
2016/01/01 17:48:58 Computer Name : NIROSH, Account Name : Guest, Last logOn : 0, Last logOff : 0, Last logOn hours : 0, Privilege : GUEST, No Of logOns : , Current User : No
2016/01/01 17:48:58 Computer Name : NIROSH, Account Name : Niro, Last logOn : 2016/01/01 14:33:46, Last logOff : 0, Last logOn hours : 0, Privilege : ADMIN, No Of logOns : , Current User : No
2016/01/01 17:49:58 Computer Name : NIROSH, Account Name : Administrator, Last logOn : 2013/08/22 20:17:09, Last logOff : 0, Last logOn hours : 0, Privilege : ADMIN, No Of logOns : , Current User : No
2016/01/01 17:49:58 Computer Name : NIROSH, Account Name : Guest, Last logOn : 0, Last logOff : 0, Last logOn hours : 0, Privilege : GUEST, No Of logOns : , Current User : No
2016/01/01 17:49:58 Computer Name : NIROSH, Account Name : Niro, Last logOn : 2016/01/01 14:33:46, Last logOff : 0, Last logOn hours : 0, Privilege : ADMIN, No Of logOns : , Current User : No
2016/01/01 17:59:55 Computer Name : NIROSH, Account Name : Administrator, Last logOn : 2013/08/22 20:17:09, Last logOff : 0, Last logOn hours : 0, Privilege : ADMIN, No Of logOns : , Current User : No
2016/01/01 17:59:55 Computer Name : NIROSH, Account Name : Guest, Last logOn : 0, Last logOff : 0, Last logOn hours : 0, Privilege : GUEST, No Of logOns : , Current User : No
2016/01/01 17:59:55 Computer Name : NIROSH, Account Name : Niro, Last logOn : 2016/01/01 14:33:46, Last logOff : 0, Last logOn hours : 0, Privilege : ADMIN, No Of logOns : , Current User : No
2016/01/01 18:00:24 Computer Name : NIROSH, Account Name : Administrator, Last logOn : 2013/08/22 20:17:09, Last logOff : 0, Last logOn hours : 0, Privilege : ADMIN, No Of logOns : , Current User : No
2016/01/01 18:00:24 Computer Name : NIROSH, Account Name : Guest, Last logOn : 0, Last logOff : 0, Last logOn hours : 0, Privilege : GUEST, No Of logOns : , Current User : No
