1/1/2016 12:5:47, Message : A handle to an object was requested., Level : Information, Process Id : , Thread Id : , Computer : Jeyatharsini, Event Id : 4656, S_Account Name : Jeyatharshini, Object Name : SAM, Object Type : SAM_SERVER, Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : READ_CONTROL, Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\lsass.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
1/1/2016 12:5:47, Message : A handle to an object was requested., Level : Information, Process Id : , Thread Id : , Computer : Jeyatharsini, Event Id : 4656, S_Account Name : Jeyatharshini, Object Name : Jeyatharsini, Object Type : SAM_DOMAIN, Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : READ_CONTROL, Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\lsass.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
1/1/2016 12:5:47, Message : A privileged service was called., Level : Information, Process Id : , Thread Id : , Computer : Jeyatharsini, Event Id : 4673, S_Account Name : Jeyatharshini, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
1/1/2016 12:5:47, Message : An attempt was made to query the existence of a blank password for an account., Level : Information, Process Id : , Thread Id : , Computer : Jeyatharsini, Event Id : 4797, S_Account Name : Jeyatharshini, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
1/1/2016 12:5:47, Message : A privileged service was called., Level : Information, Process Id : , Thread Id : , Computer : Jeyatharsini, Event Id : 4673, S_Account Name : Jeyatharshini, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
1/1/2016 12:5:47, Message : An attempt was made to query the existence of a blank password for an account., Level : Information, Process Id : , Thread Id : , Computer : Jeyatharsini, Event Id : 4797, S_Account Name : Jeyatharshini, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
1/1/2016 12:5:47, Message : A privileged service was called., Level : Information, Process Id : , Thread Id : , Computer : Jeyatharsini, Event Id : 4673, S_Account Name : Jeyatharshini, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
1/1/2016 12:5:47, Message : A handle to an object was requested., Level : Information, Process Id : , Thread Id : , Computer : Jeyatharsini, Event Id : 4656, S_Account Name : Jeyatharshini, Object Name : DOMAINS\Account\Users\000003E9, Object Type : SAM_USER, Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : READ_CONTROL, Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\lsass.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
1/1/2016 12:5:47, Message : The handle to an object was closed., Level : Information, Process Id : , Thread Id : , Computer : Jeyatharsini, Event Id : 4658, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\lsass.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
1/1/2016 12:5:47, Message : A privileged service was called., Level : Information, Process Id : , Thread Id : , Computer : Jeyatharsini, Event Id : 4673, S_Account Name : Jeyatharshini, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
1/1/2016 12:5:47, Message : An attempt was made to query the existence of a blank password for an account., Level : Information, Process Id : , Thread Id : , Computer : Jeyatharsini, Event Id : 4797, S_Account Name : Jeyatharshini, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
